subdir,num_chains
2b42_sp2_rand0.2,2
2b10_sp2_rand0.2,2
3bte_sp2_rand0.2,2
3eqy_sp2_rand0.2,2
2o3b_sp2_rand0.2,2
2vln_sp2_rand0.2,2
1a4y_sp2_rand0.2,2
2sic_sp2_rand0.2,2
3lnz_sp2_rand0.2,2
2b12_sp2_rand0.2,2
1ycs_sp2_rand0.2,2
2sgp_sp2_rand0.2,2
2vlq_sp2_rand0.2,2
3bth_sp2_rand0.2,2
3btf_sp2_rand0.2,2
2g2w_sp2_rand0.2,2
2b0z_sp2_rand0.2,2
1b41_sp2_rand0.2,2
3uih_sp2_rand0.2,2
3sgb_sp2_rand0.2,2
3d5r_sp2_rand0.2,2
3uig_sp2_rand0.2,2
2btf_sp2_rand0.2,2
1kne_sp2_rand0.2,2
3btt_sp2_rand0.2,2
3d5s_sp2_rand0.2,2
2pcb_sp2_rand0.2,2
1mah_sp2_rand0.2,2
3btm_sp2_rand0.2,2
2pcc_sp2_rand0.2,2
1fss_sp2_rand0.2,2
3kud_sp2_rand0.2,2
3btq_sp2_rand0.2,2
2gox_sp2_rand0.2,2
3eqs_sp2_rand0.2,2
2hle_sp2_rand0.2,2
2dvw_sp2_rand0.2,2
1jtg_sp2_rand0.2,2
1s0w_sp2_rand0.2,2
2noj_sp2_rand0.2,2
2abz_sp2_rand0.2,2
2nu4_sp2_rand0.2,2
1jck_sp2_rand0.2,2
2nu1_sp2_rand0.2,2
2nu2_sp2_rand0.2,2
1jtd_sp2_rand0.2,2
1y1k_sp2_rand0.2,2
1y3c_sp2_rand0.2,2
1y33_sp2_rand0.2,2
2ftl_sp2_rand0.2,2
2j0t_sp2_rand0.2,2
2nu0_sp2_rand0.2,2
1grn_sp2_rand0.2,2
1y4a_sp2_rand0.2,2
2g2u_sp2_rand0.2,2
2j12_sp2_rand0.2,2
2vn5_sp2_rand0.2,2
2vlo_sp2_rand0.2,2
3btd_sp2_rand0.2,2
1xxm_sp2_rand0.2,2
1gc1_sp2_rand0.2,2
2wpt_sp2_rand0.2,2
2vlp_sp2_rand0.2,2
2b11_sp2_rand0.2,2
2a9k_sp2_rand0.2,2
2c0l_sp2_rand0.2,2
1sbb_sp2_rand0.2,2
2sgq_sp2_rand0.2,2
2hrk_sp2_rand0.2,2
2j1k_sp2_rand0.2,2
3bk3_sp2_rand0.2,2
1kbh_sp2_rand0.2,0
